COUNT,AFFILIATION,AREA,COMMUTE_TYPE,COUNTY,AVGDIST
6,F,SSM,WLK_T,25017,6.09005367
6,F,SSM,WLK_T,25025,2.947358393
296,G,ENG,BIC,25017,1.575171663
6,G,ENG,BIC,25021,2.983319146
24,G,ENG,BIC,25025,2.835417204
39,G,ENG,BIC_T,25017,3.303699467
9,G,ENG,BIC_T,25025,3.515283195
11,G,ENG,CARPOOL,25017,4.883336055
231,G,ENG,DRV,25017,2.496694982
19,G,ENG,DRV,25025,5.126651129
10,G,ENG,DRV_T,25017,9.619872138
63,G,ENG,SHT,25017,2.016341573
5,G,ENG,UNK,25009,34.24267529
923,G,ENG,UNK,25017,1.761503438
32,G,ENG,UNK,25021,7.399566581
125,G,ENG,UNK,25025,2.715021351
452,G,ENG,WLK,25017,1.061294023
12,G,ENG,WLK,25025,1.666435459
409,G,ENG,WLK_T,25017,2.658410004
21,G,ENG,WLK_T,25021,9.987426541
71,G,ENG,WLK_T,25025,3.290346658
21,G,HAS,BIC,25017,1.919340695
8,G,HAS,BIC_T,25017,2.470913077
8,G,HAS,DRV,25017,0.839288555
5,G,HAS,SHT,25017,0.831308732
105,G,HAS,UNK,25017,1.955613901
25,G,HAS,WLK,25017,1.139288221
76,G,HAS,WLK_T,25017,3.103723522
92,G,SAP,BIC,25017,1.925236553
12,G,SAP,BIC_T,25017,2.249874221
25,G,SAP,DRV,25017,1.561040256
190,G,SAP,UNK,25017,2.062478427
19,G,SAP,UNK,25025,3.039776114
42,G,SAP,WLK,25017,1.196980948
75,G,SAP,WLK_T,25017,2.475008042
18,G,SAP,WLK_T,25025,4.009034859
125,G,SCI,BIC,25017,1.676015816
12,G,SCI,BIC_T,25017,2.148343852
32,G,SCI,DRV,25017,1.344234423
11,G,SCI,SHT,25017,1.083130065
27,G,SCI,UNK,25001,103.5821816
301,G,SCI,UNK,25017,1.797541266
29,G,SCI,UNK,25025,2.907131827
6,G,SCI,UNK,60374,5256.335374
146,G,SCI,WLK,25017,1.205177392
194,G,SCI,WLK_T,25017,3.402064862
24,G,SCI,WLK_T,25025,4.142044811
44,G,SSM,BIC,25017,1.765645048
9,G,SSM,BIC,25025,2.400316479
21,G,SSM,BIC_T,25017,1.472424703
78,G,SSM,DRV,25017,2.084080675
6,G,SSM,DRV,25021,12.38599991
6,G,SSM,DRV_T,25017,6.058012761
41,G,SSM,SHT,25017,1.106493776
272,G,SSM,UNK,25017,1.675078784
32,G,SSM,UNK,25025,2.909968515
81,G,SSM,WLK,25017,1.23889616
6,G,SSM,WLK,25025,2.657123807
300,G,SSM,WLK_T,25017,2.053390866
11,G,SSM,WLK_T,25021,9.329097895
49,G,SSM,WLK_T,25025,3.271766761
12,SS,CRP,DRV,25017,12.33179998
5,SS,CRP,DRV_T,25017,10.35795277
6,SS,CRP,WLK_T,25017,12.44509675
5,SS,DF,CARPOOL,25005,61.17459294
14,SS,DF,CARPOOL,25017,16.4832774
